date,UnmannedCombatAerialVehicles,NavalShips,AntiAircraftGuns,Radars,JammersAndDeceptionSystems,SelfPropelledAntiAircraftGuns,SelfPropelledAntiTankMissileSystems,MineResistantAmbushProtected,Aircraft,Helicopters,SurfaceToAirMissileSystems,ArtillerySupportVehiclesAndEquipment,TowedArtillery,ReconnaissanceUnmannedAerialVehicles,MultipleRocketLaunchers,InfantryMobilityVehicles,CommandPostsAndCommunicationsStations,EngineeringVehiclesAndEquipment,ArmouredPersonnelCarriers,SelfPropelledArtillery,ArmouredFightingVehicles,Tanks,InfantryFightingVehicles,TrucksVehiclesandJeeps
20220224,,,,,,,,,2,2,,,,,,2,,,,,5,1,1,9
20220225,,,,,,,,,3,2,2,,,,4,5,,,,,7,2,4,19
20220226,,,,,,,,,3,2,3,,,,7,7,,,,,7,7,11,37
20220227,,,,,,,,,3,3,4,,,,7,11,,,6,,11,9,15,66
20220228,,,,,1,,,3,3,4,13,,4,,8,20,,,14,,31,41,43,108
20220301,,,,,1,,,3,3,6,14,,4,,9,22,,,14,6,36,44,48,117
20220302,,,,,1,,,3,4,7,17,,6,,11,24,,,24,10,49,55,62,162
20220303,,,,,1,,,4,4,7,17,,8,,13,24,,,28,13,55,65,71,177
20220304,,,,,1,,,4,6,8,18,,9,,15,25,,,33,15,65,91,80,204
20220305,,,,,1,,,4,10,10,20,,9,,16,29,,,41,15,73,106,105,224
20220306,,,,1,1,,,4,10,10,21,,24,,17,32,,,49,18,78,119,118,255
20220307,,,,1,1,,,4,11,11,23,,24,,19,32,,,54,20,85,136,126,261
20220308,,,,1,1,,,5,11,11,24,,24,,19,33,,,53,23,92,151,138,296
20220309,,,,1,1,,,6,11,11,24,,25,,19,33,,,55,24,96,156,141,298
20220310,,,,1,1,,,6,12,12,28,,26,,19,34,,,57,25,101,166,151,302
20220311,,,1,1,1,8,,7,12,13,29,,26,,19,35,,,63,27,111,190,165,334
20220312,,,2,1,1,8,,7,12,15,31,,26,,20,35,,,64,29,111,193,171,343
